epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,310.586ms,15.529s,293.758ms,14.688s,21.396ms,0.000us
0,True,0.000us,0.000us,9.818ms,490.916ms,0.000us,490.916ms
0,False,376.848ms,3.015s,371.644ms,2.973s,2.760ms,0.000us
0,False,0.000us,0.000us,10.939ms,87.512ms,0.000us,87.512ms
1,True,318.288ms,15.914s,300.890ms,15.044s,22.270ms,0.000us
1,True,0.000us,0.000us,10.029ms,501.440ms,0.000us,501.440ms
1,False,316.392ms,2.531s,314.179ms,2.513s,2.856ms,0.000us
1,False,0.000us,0.000us,10.938ms,87.507ms,0.000us,87.507ms
2,True,318.679ms,15.934s,301.434ms,15.072s,21.630ms,0.000us
2,True,0.000us,0.000us,10.084ms,504.193ms,0.000us,504.193ms
2,False,316.070ms,2.529s,313.579ms,2.509s,3.260ms,0.000us
2,False,0.000us,0.000us,10.938ms,87.505ms,0.000us,87.505ms
3,True,318.408ms,15.920s,300.982ms,15.049s,22.177ms,0.000us
3,True,0.000us,0.000us,10.023ms,501.135ms,0.000us,501.135ms
3,False,316.090ms,2.529s,313.897ms,2.511s,2.765ms,0.000us
3,False,0.000us,0.000us,10.941ms,87.527ms,0.000us,87.527ms
4,True,318.830ms,15.941s,301.591ms,15.080s,23.101ms,0.000us
4,True,0.000us,0.000us,10.019ms,500.949ms,0.000us,500.949ms
4,False,316.128ms,2.529s,313.690ms,2.510s,3.136ms,0.000us
4,False,0.000us,0.000us,10.940ms,87.519ms,0.000us,87.519ms
5,True,900.007ms,45.000s,310.024ms,15.501s,32.773ms,0.000us
5,True,0.000us,0.000us,10.015ms,500.773ms,0.000us,500.773ms
5,False,313.466ms,2.508s,311.235ms,2.490s,2.776ms,0.000us
5,False,0.000us,0.000us,10.939ms,87.508ms,0.000us,87.508ms
6,True,898.356ms,44.918s,309.897ms,15.495s,31.793ms,0.000us
6,True,0.000us,0.000us,10.015ms,500.762ms,0.000us,500.762ms
6,False,314.790ms,2.518s,311.305ms,2.490s,4.234ms,0.000us
6,False,0.000us,0.000us,10.957ms,87.656ms,0.000us,87.656ms
7,True,898.795ms,44.940s,309.720ms,15.486s,35.211ms,0.000us
7,True,0.000us,0.000us,10.015ms,500.757ms,0.000us,500.757ms
7,False,313.824ms,2.511s,311.223ms,2.490s,3.641ms,0.000us
7,False,0.000us,0.000us,10.940ms,87.520ms,0.000us,87.520ms
8,True,898.776ms,44.939s,309.889ms,15.494s,31.805ms,0.000us
8,True,0.000us,0.000us,9.992ms,499.616ms,0.000us,499.616ms
8,False,313.796ms,2.510s,311.138ms,2.489s,3.319ms,0.000us
8,False,0.000us,0.000us,10.938ms,87.508ms,0.000us,87.508ms
9,True,899.286ms,44.964s,309.849ms,15.492s,32.927ms,0.000us
9,True,0.000us,0.000us,10.013ms,500.670ms,0.000us,500.670ms
9,False,313.420ms,2.507s,310.636ms,2.485s,3.783ms,0.000us
9,False,0.000us,0.000us,10.941ms,87.529ms,0.000us,87.529ms
10,True,347.217ms,17.361s,335.240ms,16.762s,35.752ms,0.000us
10,True,0.000us,0.000us,34.907ms,1.745s,0.000us,1.745s
10,False,310.529ms,2.484s,307.669ms,2.461s,3.980ms,0.000us
10,False,0.000us,0.000us,10.937ms,87.498ms,0.000us,87.498ms
10,True,303.163ms,15.158s,298.597ms,14.930s,21.120ms,0.000us
10,True,0.000us,0.000us,10.098ms,504.920ms,0.000us,504.920ms
10,False,315.602ms,2.525s,311.849ms,2.495s,4.511ms,0.000us
10,False,0.000us,0.000us,10.933ms,87.467ms,0.000us,87.467ms
10,True,305.586ms,15.279s,301.229ms,15.061s,20.463ms,0.000us
10,True,0.000us,0.000us,10.021ms,501.029ms,0.000us,501.029ms
10,False,316.424ms,2.531s,313.508ms,2.508s,3.551ms,0.000us
10,False,0.000us,0.000us,10.971ms,87.764ms,0.000us,87.764ms
10,True,306.058ms,15.303s,301.397ms,15.070s,22.095ms,0.000us
10,True,0.000us,0.000us,10.085ms,504.246ms,0.000us,504.246ms
10,False,316.432ms,2.531s,313.580ms,2.509s,3.586ms,0.000us
10,False,0.000us,0.000us,10.955ms,87.641ms,0.000us,87.641ms
10,True,305.936ms,15.297s,301.500ms,15.075s,20.564ms,0.000us
10,True,0.000us,0.000us,10.083ms,504.157ms,0.000us,504.157ms
10,False,316.031ms,2.528s,313.135ms,2.505s,3.647ms,0.000us
10,False,0.000us,0.000us,10.955ms,87.636ms,0.000us,87.636ms
10,True,305.893ms,15.295s,301.305ms,15.065s,21.217ms,0.000us
10,True,0.000us,0.000us,10.089ms,504.457ms,0.000us,504.457ms
10,False,316.356ms,2.531s,313.735ms,2.510s,3.335ms,0.000us
10,False,0.000us,0.000us,10.949ms,87.590ms,0.000us,87.590ms
10,True,305.795ms,15.290s,301.368ms,15.068s,20.107ms,0.000us
10,True,0.000us,0.000us,9.880ms,494.012ms,0.000us,494.012ms
10,False,316.245ms,2.530s,313.453ms,2.508s,3.604ms,0.000us
10,False,0.000us,0.000us,10.936ms,87.487ms,0.000us,87.487ms
10,True,306.007ms,15.300s,301.095ms,15.055s,22.933ms,0.000us
10,True,0.000us,0.000us,9.885ms,494.269ms,0.000us,494.269ms
10,False,315.879ms,2.527s,312.743ms,2.502s,3.915ms,0.000us
10,False,0.000us,0.000us,10.973ms,87.786ms,0.000us,87.786ms
10,True,305.484ms,15.274s,301.035ms,15.052s,20.664ms,0.000us
10,True,0.000us,0.000us,9.881ms,494.072ms,0.000us,494.072ms
10,False,316.673ms,2.533s,313.690ms,2.510s,3.818ms,0.000us
10,False,0.000us,0.000us,10.940ms,87.521ms,0.000us,87.521ms
10,True,305.894ms,15.295s,301.392ms,15.070s,21.059ms,0.000us
10,True,0.000us,0.000us,10.087ms,504.340ms,0.000us,504.340ms
10,False,317.150ms,2.537s,314.328ms,2.515s,3.410ms,0.000us
10,False,0.000us,0.000us,10.938ms,87.506ms,0.000us,87.506ms
10,True,306.054ms,15.303s,301.568ms,15.078s,21.162ms,0.000us
10,True,0.000us,0.000us,10.084ms,504.186ms,0.000us,504.186ms
10,False,316.320ms,2.531s,313.641ms,2.509s,3.645ms,0.000us
10,False,0.000us,0.000us,10.977ms,87.819ms,0.000us,87.819ms
10,True,306.067ms,15.303s,301.860ms,15.093s,19.557ms,0.000us
10,True,0.000us,0.000us,10.093ms,504.652ms,0.000us,504.652ms
10,False,316.704ms,2.534s,313.586ms,2.509s,3.696ms,0.000us
10,False,0.000us,0.000us,10.939ms,87.511ms,0.000us,87.511ms
10,True,305.816ms,15.291s,301.236ms,15.062s,21.788ms,0.000us
10,True,0.000us,0.000us,10.091ms,504.552ms,0.000us,504.552ms
10,False,316.571ms,2.533s,313.800ms,2.510s,3.504ms,0.000us
10,False,0.000us,0.000us,10.940ms,87.519ms,0.000us,87.519ms
10,True,305.906ms,15.295s,301.619ms,15.081s,19.989ms,0.000us
10,True,0.000us,0.000us,10.094ms,504.719ms,0.000us,504.719ms
10,False,316.198ms,2.530s,311.984ms,2.496s,5.097ms,0.000us
10,False,0.000us,0.000us,10.944ms,87.549ms,0.000us,87.549ms
10,True,305.820ms,15.291s,300.582ms,15.029s,24.746ms,0.000us
10,True,0.000us,0.000us,10.090ms,504.506ms,0.000us,504.506ms
10,False,315.728ms,2.526s,312.850ms,2.503s,4.002ms,0.000us
10,False,0.000us,0.000us,10.954ms,87.636ms,0.000us,87.636ms
10,True,305.653ms,15.283s,301.142ms,15.057s,21.779ms,0.000us
10,True,0.000us,0.000us,10.064ms,503.195ms,0.000us,503.195ms
10,False,316.360ms,2.531s,313.746ms,2.510s,3.384ms,0.000us
10,False,0.000us,0.000us,10.939ms,87.510ms,0.000us,87.510ms
10,True,305.409ms,15.270s,300.882ms,15.044s,21.611ms,0.000us
10,True,0.000us,0.000us,9.888ms,494.395ms,0.000us,494.395ms
10,False,316.291ms,2.530s,313.640ms,2.509s,3.370ms,0.000us
10,False,0.000us,0.000us,10.938ms,87.504ms,0.000us,87.504ms
10,True,306.091ms,15.305s,301.458ms,15.073s,22.331ms,0.000us
10,True,0.000us,0.000us,10.115ms,505.741ms,0.000us,505.741ms
10,False,316.523ms,2.532s,313.827ms,2.511s,3.486ms,0.000us
10,False,0.000us,0.000us,10.935ms,87.484ms,0.000us,87.484ms
10,True,305.888ms,15.294s,301.344ms,15.067s,21.630ms,0.000us
10,True,0.000us,0.000us,10.105ms,505.261ms,0.000us,505.261ms
10,False,316.097ms,2.529s,313.968ms,2.512s,3.074ms,0.000us
10,False,0.000us,0.000us,10.938ms,87.503ms,0.000us,87.503ms
10,True,305.676ms,15.284s,301.375ms,15.069s,20.039ms,0.000us
10,True,0.000us,0.000us,10.092ms,504.580ms,0.000us,504.580ms
10,False,316.400ms,2.531s,313.926ms,2.511s,3.194ms,0.000us
10,False,0.000us,0.000us,10.937ms,87.498ms,0.000us,87.498ms
11,True,900.669ms,45.033s,310.222ms,15.511s,38.321ms,0.000us
11,True,0.000us,0.000us,10.040ms,502.000ms,0.000us,502.000ms
11,False,313.286ms,2.506s,310.606ms,2.485s,3.676ms,0.000us
11,False,0.000us,0.000us,10.938ms,87.502ms,0.000us,87.502ms
12,True,898.971ms,44.949s,310.107ms,15.505s,32.206ms,0.000us
12,True,0.000us,0.000us,9.986ms,499.323ms,0.000us,499.323ms
12,False,313.216ms,2.506s,310.493ms,2.484s,3.636ms,0.000us
12,False,0.000us,0.000us,10.937ms,87.500ms,0.000us,87.500ms
13,True,898.448ms,44.922s,309.539ms,15.477s,34.139ms,0.000us
13,True,0.000us,0.000us,10.008ms,500.391ms,0.000us,500.391ms
13,False,313.012ms,2.504s,310.854ms,2.487s,3.232ms,0.000us
13,False,0.000us,0.000us,10.938ms,87.501ms,0.000us,87.501ms
14,True,897.282ms,44.864s,309.349ms,15.467s,33.824ms,0.000us
14,True,0.000us,0.000us,10.015ms,500.741ms,0.000us,500.741ms
14,False,313.656ms,2.509s,310.678ms,2.485s,3.754ms,0.000us
14,False,0.000us,0.000us,10.939ms,87.509ms,0.000us,87.509ms
