epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,339.963ms,16.998s,321.227ms,16.061s,15.320ms,0.000us
0,True,0.000us,0.000us,30.234ms,1.512s,0.000us,1.512s
0,False,368.200ms,2.946s,365.780ms,2.926s,1.592ms,0.000us
0,False,0.000us,0.000us,32.200ms,257.597ms,0.000us,257.597ms
1,True,1.063s,53.154s,997.193ms,49.860s,13.225ms,0.000us
1,True,0.000us,0.000us,29.172ms,1.459s,0.000us,1.459s
1,False,398.417ms,3.187s,396.091ms,3.169s,1.593ms,0.000us
1,False,0.000us,0.000us,32.458ms,259.662ms,0.000us,259.662ms
2,True,1.071s,53.553s,1.004s,50.191s,13.317ms,0.000us
2,True,0.000us,0.000us,30.294ms,1.515s,0.000us,1.515s
2,False,367.475ms,2.940s,365.217ms,2.922s,1.543ms,0.000us
2,False,0.000us,0.000us,32.427ms,259.417ms,0.000us,259.417ms
3,True,3.038s,151.900s,1.005s,50.228s,14.096ms,0.000us
3,True,0.000us,0.000us,29.466ms,1.473s,0.000us,1.473s
3,False,368.310ms,2.946s,365.445ms,2.924s,2.035ms,0.000us
3,False,0.000us,0.000us,36.028ms,288.225ms,0.000us,288.225ms
4,True,1.653s,82.642s,588.119ms,29.406s,18.011ms,0.000us
4,True,0.000us,0.000us,32.460ms,1.623s,0.000us,1.623s
4,False,357.459ms,2.860s,354.208ms,2.834s,2.634ms,0.000us
4,False,0.000us,0.000us,35.353ms,282.821ms,0.000us,282.821ms
5,True,1.460s,72.982s,503.920ms,25.196s,17.996ms,0.000us
5,True,0.000us,0.000us,32.306ms,1.615s,0.000us,1.615s
5,False,365.600ms,2.925s,362.508ms,2.900s,2.317ms,0.000us
5,False,0.000us,0.000us,33.046ms,264.370ms,0.000us,264.370ms
6,True,3.125s,156.264s,963.951ms,48.198s,15.558ms,0.000us
6,True,0.000us,0.000us,33.201ms,1.660s,0.000us,1.660s
6,False,370.309ms,2.962s,367.121ms,2.937s,2.453ms,0.000us
6,False,0.000us,0.000us,37.319ms,298.552ms,0.000us,298.552ms
7,True,3.001s,150.034s,907.206ms,45.360s,15.626ms,0.000us
7,True,0.000us,0.000us,33.401ms,1.670s,0.000us,1.670s
7,False,366.842ms,2.935s,364.351ms,2.915s,1.820ms,0.000us
7,False,0.000us,0.000us,35.156ms,281.247ms,0.000us,281.247ms
8,True,3.147s,157.355s,972.712ms,48.636s,17.028ms,0.000us
8,True,0.000us,0.000us,32.773ms,1.639s,0.000us,1.639s
8,False,364.963ms,2.920s,362.299ms,2.898s,1.947ms,0.000us
8,False,0.000us,0.000us,32.018ms,256.148ms,0.000us,256.148ms
9,True,2.719s,135.963s,876.899ms,43.845s,16.727ms,0.000us
9,True,0.000us,0.000us,31.050ms,1.552s,0.000us,1.552s
9,False,365.598ms,2.925s,363.038ms,2.904s,1.850ms,0.000us
9,False,0.000us,0.000us,33.013ms,264.107ms,0.000us,264.107ms
