epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,1.098s,54.916s,655.235ms,32.762s,126.167ms,0.000us
0,True,0.000us,0.000us,852.418ms,42.621s,0.000us,42.621s
0,False,1.132s,47.549s,818.003ms,34.356s,79.692ms,0.000us
0,False,0.000us,0.000us,1.132s,47.527s,0.000us,47.527s
1,True,1.097s,54.849s,654.593ms,32.730s,133.273ms,0.000us
1,True,0.000us,0.000us,850.637ms,42.532s,0.000us,42.532s
1,False,1.167s,49.007s,818.466ms,34.376s,82.549ms,0.000us
1,False,0.000us,0.000us,1.166s,48.982s,0.000us,48.982s
2,True,1.122s,56.121s,656.701ms,32.835s,139.362ms,0.000us
2,True,0.000us,0.000us,876.283ms,43.814s,0.000us,43.814s
2,False,1.139s,47.851s,816.374ms,34.288s,90.898ms,0.000us
2,False,0.000us,0.000us,1.139s,47.828s,0.000us,47.828s
3,True,1.220s,61.008s,656.181ms,32.809s,147.495ms,0.000us
3,True,0.000us,0.000us,974.135ms,48.707s,0.000us,48.707s
3,False,1.214s,50.973s,821.735ms,34.513s,98.202ms,0.000us
3,False,0.000us,0.000us,1.213s,50.950s,0.000us,50.950s
4,True,1.227s,61.353s,657.628ms,32.881s,146.911ms,0.000us
4,True,0.000us,0.000us,981.436ms,49.072s,0.000us,49.072s
4,False,1.218s,51.171s,820.731ms,34.471s,105.435ms,0.000us
4,False,0.000us,0.000us,1.218s,51.148s,0.000us,51.148s
5,True,1.341s,67.048s,714.062ms,35.703s,179.488ms,0.000us
5,True,0.000us,0.000us,1.093s,54.642s,0.000us,54.642s
5,False,1.218s,51.152s,822.091ms,34.528s,106.434ms,0.000us
5,False,0.000us,0.000us,1.217s,51.128s,0.000us,51.128s
6,True,1.211s,60.540s,653.262ms,32.663s,139.343ms,0.000us
6,True,0.000us,0.000us,965.679ms,48.284s,0.000us,48.284s
6,False,1.442s,60.572s,925.417ms,38.867s,142.958ms,0.000us
6,False,0.000us,0.000us,1.441s,60.538s,0.000us,60.538s
7,True,1.222s,61.090s,656.945ms,32.847s,153.386ms,0.000us
7,True,0.000us,0.000us,976.357ms,48.818s,0.000us,48.818s
7,False,1.223s,51.350s,819.513ms,34.420s,111.172ms,0.000us
7,False,0.000us,0.000us,1.222s,51.327s,0.000us,51.327s
8,True,1.225s,61.271s,656.897ms,32.845s,149.081ms,0.000us
8,True,0.000us,0.000us,979.526ms,48.976s,0.000us,48.976s
8,False,1.228s,51.564s,820.491ms,34.461s,114.867ms,0.000us
8,False,0.000us,0.000us,1.227s,51.540s,0.000us,51.540s
9,True,1.212s,60.620s,655.391ms,32.770s,146.344ms,0.000us
9,True,0.000us,0.000us,967.505ms,48.375s,0.000us,48.375s
9,False,1.227s,51.539s,819.432ms,34.416s,119.932ms,0.000us
9,False,0.000us,0.000us,1.227s,51.516s,0.000us,51.516s
10,True,1.203s,60.131s,653.038ms,32.652s,141.649ms,0.000us
10,True,0.000us,0.000us,958.071ms,47.904s,0.000us,47.904s
10,False,1.242s,52.179s,821.343ms,34.496s,126.464ms,0.000us
10,False,0.000us,0.000us,1.242s,52.155s,0.000us,52.155s
11,True,1.205s,60.263s,651.836ms,32.592s,136.897ms,0.000us
11,True,0.000us,0.000us,960.269ms,48.013s,0.000us,48.013s
11,False,1.243s,52.225s,823.177ms,34.573s,128.508ms,0.000us
11,False,0.000us,0.000us,1.243s,52.200s,0.000us,52.200s
12,True,1.368s,68.418s,727.201ms,36.360s,181.971ms,0.000us
12,True,0.000us,0.000us,1.120s,56.001s,0.000us,56.001s
12,False,1.256s,52.748s,825.305ms,34.663s,131.843ms,0.000us
12,False,0.000us,0.000us,1.255s,52.723s,0.000us,52.723s
13,True,1.214s,60.699s,656.898ms,32.845s,150.935ms,0.000us
13,True,0.000us,0.000us,967.657ms,48.383s,0.000us,48.383s
13,False,1.278s,53.694s,833.053ms,34.988s,145.361ms,0.000us
13,False,0.000us,0.000us,1.278s,53.669s,0.000us,53.669s
14,True,1.202s,60.125s,654.033ms,32.702s,146.914ms,0.000us
14,True,0.000us,0.000us,956.088ms,47.804s,0.000us,47.804s
14,False,1.261s,52.946s,825.020ms,34.651s,142.758ms,0.000us
14,False,0.000us,0.000us,1.260s,52.920s,0.000us,52.920s
15,True,1.207s,60.333s,655.762ms,32.788s,147.634ms,0.000us
15,True,0.000us,0.000us,961.569ms,48.078s,0.000us,48.078s
15,False,1.271s,53.384s,826.195ms,34.700s,147.836ms,0.000us
15,False,0.000us,0.000us,1.270s,53.358s,0.000us,53.358s
