epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,1.032s,51.619s,683.729ms,34.186s,148.839ms,0.000us
0,True,0.000us,0.000us,785.944ms,39.297s,0.000us,39.297s
0,False,1.147s,48.191s,822.887ms,34.561s,89.451ms,0.000us
0,False,0.000us,0.000us,1.147s,48.168s,0.000us,48.168s
1,True,1.113s,55.671s,662.109ms,33.105s,144.217ms,0.000us
1,True,0.000us,0.000us,867.669ms,43.383s,0.000us,43.383s
1,False,1.188s,49.885s,827.993ms,34.776s,89.738ms,0.000us
1,False,0.000us,0.000us,1.187s,49.861s,0.000us,49.861s
2,True,1.143s,57.172s,669.730ms,33.486s,152.902ms,0.000us
2,True,0.000us,0.000us,896.950ms,44.848s,0.000us,44.848s
2,False,1.151s,48.344s,826.155ms,34.699s,97.117ms,0.000us
2,False,0.000us,0.000us,1.150s,48.321s,0.000us,48.321s
3,True,1.233s,61.637s,665.004ms,33.250s,159.804ms,0.000us
3,True,0.000us,0.000us,985.907ms,49.295s,0.000us,49.295s
3,False,1.222s,51.335s,827.970ms,34.775s,100.396ms,0.000us
3,False,0.000us,0.000us,1.222s,51.312s,0.000us,51.312s
4,True,1.261s,63.031s,677.394ms,33.870s,168.354ms,0.000us
4,True,0.000us,0.000us,1.014s,50.676s,0.000us,50.676s
4,False,1.241s,52.142s,830.060ms,34.863s,110.689ms,0.000us
4,False,0.000us,0.000us,1.241s,52.117s,0.000us,52.117s
5,True,1.231s,61.531s,664.190ms,33.209s,152.124ms,0.000us
5,True,0.000us,0.000us,984.798ms,49.240s,0.000us,49.240s
5,False,1.261s,52.949s,836.374ms,35.128s,117.498ms,0.000us
5,False,0.000us,0.000us,1.260s,52.924s,0.000us,52.924s
6,True,1.196s,59.806s,666.101ms,33.305s,160.415ms,0.000us
6,True,0.000us,0.000us,950.488ms,47.524s,0.000us,47.524s
6,False,1.239s,52.024s,827.578ms,34.758s,121.265ms,0.000us
6,False,0.000us,0.000us,1.238s,52.000s,0.000us,52.000s
7,True,1.193s,59.635s,663.210ms,33.160s,162.002ms,0.000us
7,True,0.000us,0.000us,946.514ms,47.326s,0.000us,47.326s
7,False,1.249s,52.472s,830.592ms,34.885s,122.534ms,0.000us
7,False,0.000us,0.000us,1.249s,52.447s,0.000us,52.447s
8,True,1.237s,61.840s,662.967ms,33.148s,169.369ms,0.000us
8,True,0.000us,0.000us,988.844ms,49.442s,0.000us,49.442s
8,False,1.247s,52.362s,830.467ms,34.880s,122.518ms,0.000us
8,False,0.000us,0.000us,1.246s,52.337s,0.000us,52.337s
9,True,1.232s,61.616s,664.141ms,33.207s,166.900ms,0.000us
9,True,0.000us,0.000us,986.017ms,49.301s,0.000us,49.301s
9,False,1.268s,53.263s,833.703ms,35.016s,136.750ms,0.000us
9,False,0.000us,0.000us,1.268s,53.237s,0.000us,53.237s
10,True,1.233s,61.671s,662.445ms,33.122s,168.293ms,0.000us
10,True,0.000us,0.000us,985.471ms,49.274s,0.000us,49.274s
10,False,1.269s,53.304s,830.455ms,34.879s,134.342ms,0.000us
10,False,0.000us,0.000us,1.269s,53.279s,0.000us,53.279s
11,True,1.227s,61.346s,665.360ms,33.268s,158.910ms,0.000us
11,True,0.000us,0.000us,980.571ms,49.029s,0.000us,49.029s
11,False,1.275s,53.558s,833.850ms,35.022s,135.581ms,0.000us
11,False,0.000us,0.000us,1.275s,53.533s,0.000us,53.533s
12,True,1.237s,61.864s,665.622ms,33.281s,171.099ms,0.000us
12,True,0.000us,0.000us,989.361ms,49.468s,0.000us,49.468s
12,False,1.306s,54.848s,848.741ms,35.647s,151.719ms,0.000us
12,False,0.000us,0.000us,1.305s,54.821s,0.000us,54.821s
13,True,1.237s,61.866s,664.557ms,33.228s,178.152ms,0.000us
13,True,0.000us,0.000us,989.395ms,49.470s,0.000us,49.470s
13,False,1.284s,53.931s,835.436ms,35.088s,152.229ms,0.000us
13,False,0.000us,0.000us,1.283s,53.904s,0.000us,53.904s
14,True,1.225s,61.258s,665.067ms,33.253s,166.196ms,0.000us
14,True,0.000us,0.000us,978.580ms,48.929s,0.000us,48.929s
14,False,1.276s,53.603s,831.957ms,34.942s,151.483ms,0.000us
14,False,0.000us,0.000us,1.276s,53.577s,0.000us,53.577s
15,True,1.235s,61.765s,665.770ms,33.288s,166.102ms,0.000us
15,True,0.000us,0.000us,988.171ms,49.409s,0.000us,49.409s
15,False,1.276s,53.607s,834.150ms,35.034s,152.209ms,0.000us
15,False,0.000us,0.000us,1.276s,53.580s,0.000us,53.580s
