epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,180.799ms,9.040s,141.230ms,7.061s,35.858ms,0.000us
0,True,0.000us,0.000us,14.018ms,700.886ms,0.000us,700.886ms
0,False,178.035ms,7.477s,172.498ms,7.245s,26.451ms,0.000us
0,False,0.000us,0.000us,17.400ms,730.812ms,0.000us,730.812ms
1,True,182.119ms,9.106s,142.150ms,7.107s,36.509ms,0.000us
1,True,0.000us,0.000us,13.809ms,690.468ms,0.000us,690.468ms
1,False,178.358ms,7.491s,172.717ms,7.254s,26.103ms,0.000us
1,False,0.000us,0.000us,17.669ms,742.095ms,0.000us,742.095ms
2,True,181.661ms,9.083s,142.134ms,7.107s,30.946ms,0.000us
2,True,0.000us,0.000us,13.767ms,688.357ms,0.000us,688.357ms
2,False,178.567ms,7.500s,172.715ms,7.254s,27.649ms,0.000us
2,False,0.000us,0.000us,17.621ms,740.084ms,0.000us,740.084ms
3,True,182.769ms,9.138s,142.402ms,7.120s,38.944ms,0.000us
3,True,0.000us,0.000us,14.086ms,704.284ms,0.000us,704.284ms
3,False,178.182ms,7.484s,172.744ms,7.255s,25.175ms,0.000us
3,False,0.000us,0.000us,17.492ms,734.647ms,0.000us,734.647ms
4,True,182.269ms,9.113s,142.379ms,7.119s,34.476ms,0.000us
4,True,0.000us,0.000us,13.976ms,698.812ms,0.000us,698.812ms
4,False,178.183ms,7.484s,172.784ms,7.257s,24.657ms,0.000us
4,False,0.000us,0.000us,17.404ms,730.977ms,0.000us,730.977ms
5,True,416.506ms,20.825s,150.434ms,7.522s,42.368ms,0.000us
5,True,0.000us,0.000us,14.009ms,700.468ms,0.000us,700.468ms
5,False,177.564ms,7.458s,172.085ms,7.228s,24.738ms,0.000us
5,False,0.000us,0.000us,17.352ms,728.805ms,0.000us,728.805ms
6,True,415.687ms,20.784s,149.928ms,7.496s,40.341ms,0.000us
6,True,0.000us,0.000us,13.803ms,690.167ms,0.000us,690.167ms
6,False,178.329ms,7.490s,172.633ms,7.251s,26.609ms,0.000us
6,False,0.000us,0.000us,17.903ms,751.916ms,0.000us,751.916ms
7,True,416.199ms,20.810s,150.275ms,7.514s,40.850ms,0.000us
7,True,0.000us,0.000us,14.115ms,705.767ms,0.000us,705.767ms
7,False,177.781ms,7.467s,172.180ms,7.232s,25.906ms,0.000us
7,False,0.000us,0.000us,17.680ms,742.540ms,0.000us,742.540ms
