epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,183.135ms,9.157s,140.362ms,7.018s,38.661ms,0.000us
0,True,0.000us,0.000us,14.099ms,704.951ms,0.000us,704.951ms
0,False,182.905ms,7.682s,174.386ms,7.324s,30.492ms,0.000us
0,False,0.000us,0.000us,17.325ms,727.669ms,0.000us,727.669ms
1,True,186.161ms,9.308s,143.496ms,7.175s,37.348ms,0.000us
1,True,0.000us,0.000us,13.659ms,682.954ms,0.000us,682.954ms
1,False,182.310ms,7.657s,174.435ms,7.326s,28.603ms,0.000us
1,False,0.000us,0.000us,17.187ms,721.838ms,0.000us,721.838ms
2,True,187.023ms,9.351s,143.340ms,7.167s,43.942ms,0.000us
2,True,0.000us,0.000us,13.787ms,689.345ms,0.000us,689.345ms
2,False,182.728ms,7.675s,174.222ms,7.317s,29.921ms,0.000us
2,False,0.000us,0.000us,17.403ms,730.919ms,0.000us,730.919ms
3,True,186.949ms,9.347s,143.367ms,7.168s,42.013ms,0.000us
3,True,0.000us,0.000us,13.730ms,686.496ms,0.000us,686.496ms
3,False,183.269ms,7.697s,174.158ms,7.315s,31.529ms,0.000us
3,False,0.000us,0.000us,17.421ms,731.694ms,0.000us,731.694ms
4,True,187.606ms,9.380s,143.497ms,7.175s,46.783ms,0.000us
4,True,0.000us,0.000us,14.110ms,705.484ms,0.000us,705.484ms
4,False,182.155ms,7.650s,173.726ms,7.297s,28.716ms,0.000us
4,False,0.000us,0.000us,17.162ms,720.799ms,0.000us,720.799ms
5,True,424.260ms,21.213s,151.608ms,7.580s,49.540ms,0.000us
5,True,0.000us,0.000us,14.016ms,700.813ms,0.000us,700.813ms
5,False,180.560ms,7.584s,172.522ms,7.246s,29.405ms,0.000us
5,False,0.000us,0.000us,17.308ms,726.916ms,0.000us,726.916ms
6,True,423.950ms,21.198s,151.473ms,7.574s,47.358ms,0.000us
6,True,0.000us,0.000us,13.665ms,683.238ms,0.000us,683.238ms
6,False,181.444ms,7.621s,173.145ms,7.272s,30.306ms,0.000us
6,False,0.000us,0.000us,17.627ms,740.342ms,0.000us,740.342ms
7,True,422.532ms,21.127s,151.265ms,7.563s,46.884ms,0.000us
7,True,0.000us,0.000us,13.749ms,687.438ms,0.000us,687.438ms
7,False,181.032ms,7.603s,172.655ms,7.251s,30.258ms,0.000us
7,False,0.000us,0.000us,17.680ms,742.572ms,0.000us,742.572ms
8,True,422.340ms,21.117s,150.968ms,7.548s,45.140ms,0.000us
8,True,0.000us,0.000us,13.744ms,687.182ms,0.000us,687.182ms
8,False,181.288ms,7.614s,172.884ms,7.261s,29.438ms,0.000us
8,False,0.000us,0.000us,17.802ms,747.691ms,0.000us,747.691ms
9,True,422.691ms,21.135s,151.404ms,7.570s,47.173ms,0.000us
9,True,0.000us,0.000us,14.084ms,704.219ms,0.000us,704.219ms
9,False,181.384ms,7.618s,173.037ms,7.268s,29.316ms,0.000us
9,False,0.000us,0.000us,17.874ms,750.722ms,0.000us,750.722ms
10,True,422.186ms,21.109s,151.280ms,7.564s,46.221ms,0.000us
10,True,0.000us,0.000us,13.891ms,694.539ms,0.000us,694.539ms
10,False,182.244ms,7.654s,173.512ms,7.287s,32.020ms,0.000us
10,False,0.000us,0.000us,18.003ms,756.108ms,0.000us,756.108ms
10,False,182.290ms,7.656s,171.490ms,7.203s,43.587ms,0.000us
10,False,0.000us,0.000us,17.531ms,736.308ms,0.000us,736.308ms
10,True,154.088ms,7.704s,142.063ms,7.103s,40.508ms,0.000us
10,True,0.000us,0.000us,14.093ms,704.647ms,0.000us,704.647ms
10,False,185.717ms,7.800s,174.283ms,7.320s,45.012ms,0.000us
10,False,0.000us,0.000us,18.152ms,762.387ms,0.000us,762.387ms
10,True,154.497ms,7.725s,142.915ms,7.146s,40.723ms,0.000us
10,True,0.000us,0.000us,14.034ms,701.678ms,0.000us,701.678ms
10,False,185.882ms,7.807s,174.563ms,7.332s,45.121ms,0.000us
10,False,0.000us,0.000us,18.348ms,770.602ms,0.000us,770.602ms
10,True,155.356ms,7.768s,143.568ms,7.178s,41.368ms,0.000us
10,True,0.000us,0.000us,14.635ms,731.729ms,0.000us,731.729ms
10,False,184.760ms,7.760s,174.501ms,7.329s,42.130ms,0.000us
10,False,0.000us,0.000us,18.394ms,772.545ms,0.000us,772.545ms
10,True,154.590ms,7.729s,143.490ms,7.175s,39.260ms,0.000us
10,True,0.000us,0.000us,14.546ms,727.294ms,0.000us,727.294ms
10,False,184.871ms,7.765s,174.713ms,7.338s,42.623ms,0.000us
10,False,0.000us,0.000us,18.556ms,779.354ms,0.000us,779.354ms
10,True,154.409ms,7.720s,143.334ms,7.167s,39.177ms,0.000us
10,True,0.000us,0.000us,14.404ms,720.199ms,0.000us,720.199ms
10,False,186.494ms,7.833s,175.256ms,7.361s,46.111ms,0.000us
10,False,0.000us,0.000us,19.171ms,805.169ms,0.000us,805.169ms
10,True,154.912ms,7.746s,143.489ms,7.174s,40.210ms,0.000us
10,True,0.000us,0.000us,14.534ms,726.716ms,0.000us,726.716ms
10,False,185.095ms,7.774s,174.597ms,7.333s,44.061ms,0.000us
10,False,0.000us,0.000us,18.353ms,770.809ms,0.000us,770.809ms
10,True,154.732ms,7.737s,143.638ms,7.182s,39.176ms,0.000us
10,True,0.000us,0.000us,14.620ms,730.983ms,0.000us,730.983ms
10,False,185.078ms,7.773s,174.920ms,7.347s,42.663ms,0.000us
10,False,0.000us,0.000us,18.669ms,784.083ms,0.000us,784.083ms
10,True,154.443ms,7.722s,143.227ms,7.161s,40.987ms,0.000us
10,True,0.000us,0.000us,14.301ms,715.041ms,0.000us,715.041ms
10,False,184.858ms,7.764s,174.411ms,7.325s,44.761ms,0.000us
10,False,0.000us,0.000us,18.541ms,778.713ms,0.000us,778.713ms
10,True,154.592ms,7.730s,143.475ms,7.174s,39.158ms,0.000us
10,True,0.000us,0.000us,14.447ms,722.337ms,0.000us,722.337ms
10,False,184.798ms,7.762s,174.489ms,7.329s,42.272ms,0.000us
10,False,0.000us,0.000us,18.219ms,765.200ms,0.000us,765.200ms
10,True,154.606ms,7.730s,143.281ms,7.164s,39.980ms,0.000us
10,True,0.000us,0.000us,14.371ms,718.563ms,0.000us,718.563ms
10,False,186.252ms,7.823s,175.137ms,7.356s,45.641ms,0.000us
10,False,0.000us,0.000us,18.944ms,795.633ms,0.000us,795.633ms
10,True,154.831ms,7.742s,143.650ms,7.183s,41.324ms,0.000us
10,True,0.000us,0.000us,14.637ms,731.852ms,0.000us,731.852ms
10,False,184.554ms,7.751s,174.264ms,7.319s,43.307ms,0.000us
10,False,0.000us,0.000us,18.245ms,766.309ms,0.000us,766.309ms
